Task Name,Phase,Status,Review Status,Time Needed
"Define Palet Warna Admin",Fondasi Visual,Not started,Not Reviewed,2h
"Define Primer, Sekunder, Neutral, Semantic",Fondasi Visual,Not started,Not Reviewed,1h
"Define Tipografi Dashboard",Fondasi Visual,Not started,Not Reviewed,2h
"Define Skala font tabel & form",Fondasi Visual,Not started,Not Reviewed,1h
"Design Buttons & Links",Komponen UI Dasar,Not started,Not Reviewed,2h
"Create Primary, Secondary, Outline, Ghost, Destructive",Komponen UI Dasar,Not started,Not Reviewed,2h
"Design Form Inputs",Komponen UI Dasar,Not started,Not Reviewed,2h
"Create Text Input, Textarea, Select, Checkbox, Toggle",Komponen UI Dasar,Not started,Not Reviewed,4h
"Create State Hover, Focus, Disabled, Error",Komponen UI Dasar,Not started,Not Reviewed,2h
"Design Data Display",Komponen UI Dasar,Not started,Not Reviewed,1h
"Create Badge/Label status",Komponen UI Dasar,Not started,Not Reviewed,1h
"Create Avatar placeholder",Komponen UI Dasar,Not started,Not Reviewed,1h
"Design Data Tables",Komponen Kompleks,Not started,Not Reviewed,2h
"Create Baris tabel, header sortable, paginasi",Komponen Kompleks,Not started,Not Reviewed,4h
"Design Modals & Dialogs",Komponen Kompleks,Not started,Not Reviewed,2h
"Create Modal konfirmasi & pop-up form",Komponen Kompleks,Not started,Not Reviewed,2h
"Design WYSIWYG Editor Toolbar",Komponen Kompleks,Not started,Not Reviewed,2h
"Create Toolbar editor kustom",Komponen Kompleks,Not started,Not Reviewed,4h
"Design Feedback UI",Komponen Kompleks,Not started,Not Reviewed,1h
"Create Toast Notification & Loading Skeleton",Komponen Kompleks,Not started,Not Reviewed,2h
"Design Struktur Navigasi Utama",Arsitektur Layout,Not started,Not Reviewed,2h
"Create Mockup Sidebar & Topbar",Arsitektur Layout,Not started,Not Reviewed,4h
"Design Responsivitas Dashboard",Arsitektur Layout,Not started,Not Reviewed,2h
"Create Layout Desktop vs Tablet",Arsitektur Layout,Not started,Not Reviewed,4h
"Design Dashboard Home",Halaman & Alur Kerja,Not started,Not Reviewed,2h
"Create Layout widget statistik & grafik",Halaman & Alur Kerja,Not started,Not Reviewed,4h
"Design Alur Manajemen Konten (Artikel/Event)",Halaman & Alur Kerja,Not started,Not Reviewed,2h
"Create Mockup daftar tabel + filter",Halaman & Alur Kerja,Not started,Not Reviewed,4h
"Create Mockup halaman editor (split-view)",Halaman & Alur Kerja,Not started,Not Reviewed,4h
"Design Media Library",Halaman & Alur Kerja,Not started,Not Reviewed,2h
"Create Layout Grid & modal detail aset",Halaman & Alur Kerja,Not started,Not Reviewed,4h
"Design Autentikasi",Halaman & Alur Kerja,Not started,Not Reviewed,1h
"Create Mockup halaman login",Halaman & Alur Kerja,Not started,Not Reviewed,2h
"Polish Definisi transisi antar halaman",Prototipe Interaktif,Not started,Not Reviewed,2h
"Implement (Optional) Prototipe klik-tayang Figma",Prototipe Interaktif,Not started,Not Reviewed,1d
"Setup Route Group CMS (app/(admin)/)",Routing,Not started,Not Reviewed,1h
"Create Root Layout CMS (app/(admin)/layout.tsx)",Routing,Not started,Not Reviewed,2h
"Implement Render html & body",Routing,Not started,Not Reviewed,30m
"Implement Load AdminSidebar, AdminHeader, main",Routing,Not started,Not Reviewed,1h
"Implement Proteksi/middleware session",Routing,Not started,Not Reviewed,2h
"Create Halaman Utama Dashboard (app/(admin)/page.tsx)",Routing,Not started,Not Reviewed,1h
"Create Struktur Halaman Entitas (CRUD Base)",Routing,Not started,Not Reviewed,2h
"Create app/(admin)/article/page.tsx",Routing,Not started,Not Reviewed,1h
"Create app/(admin)/article/create/page.tsx",Routing,Not started,Not Reviewed,1h
"Create app/(admin)/article/[slug]/edit/page.tsx",Routing,Not started,Not Reviewed,2h
"Create struktur replikasi untuk category, event, tag, gallery",Routing,Not started,Not Reviewed,1d
"Create Layout Components (app/components/layout/admin/)",Komponen CMS,Not started,Not Reviewed,2h
"Create AdminHeader.tsx",Komponen CMS,Not started,Not Reviewed,2h
"Create AdminSidebar.tsx",Komponen CMS,Not started,Not Reviewed,2h
"Create AdminClientLayout.tsx",Komponen CMS,Not started,Not Reviewed,1h
"Create Pages Components (app/components/pages/admin/)",Komponen CMS,Not started,Not Reviewed,1h
"Create DashboardPage.tsx",Komponen CMS,Not started,Not Reviewed,2h
"Create ArticleManagementPage.tsx",Komponen CMS,Not started,Not Reviewed,2h
"Create ArticleEditorPage.tsx",Komponen CMS,Not started,Not Reviewed,4h
"Implement UI Components (app/components/ui/admin/)",Komponen CMS,Not started,Not Reviewed,1h
"Reuse Komponen ui publik (Button, Input, dll)",Komponen CMS,Not started,Not Reviewed,1h
"Create DataTable.tsx",Komponen CMS,Not started,Not Reviewed,4h
"Create FormPageHeader.tsx",Komponen CMS,Not started,Not Reviewed,2h
"Create Komponen Artikel (app/components/pages/admin/article/)",Komponen Pages per Modul,Not started,Not Reviewed,1h
"Create ArticleManagementPage.tsx (article)",Komponen Pages per Modul,Not started,Not Reviewed,4h
"Create ArticleEditorPage.tsx (article)",Komponen Pages per Modul,Not started,Not Reviewed,1d
"Create Komponen Event (app/components/pages/admin/event/)",Komponen Pages per Modul,Not started,Not Reviewed,1h
"Create EventManagementPage.tsx",Komponen Pages per Modul,Not started,Not Reviewed,4h
"Create EventEditorPage.tsx",Komponen Pages per Modul,Not started,Not Reviewed,1d
